"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
0.64074752254834,4.57444388563414,8.912487080393,1.49374913101966e-12,2.35370050574768e-08,18.0485497940674,"TMPO","NS",""
0.802027776099333,4.27716299718406,8.51652066328929,6.92774633813216e-12,5.45802495249742e-08,16.6181493525093,"MYBL1","NS",""
-0.821768635819161,5.63103409512667,-8.15308948860092,2.85472568692563e-11,1.49939708829624e-07,15.2949059894469,"GYPC","NS",""
1.16495368609704,4.86946870093957,7.78793850520468,1.19048401254679e-10,4.68961414642494e-07,13.9579118656966,"UBE2C","Up","UBE2C"
-1.09526366681475,4.34701460940025,-7.61654527305983,2.32959109237602e-10,7.3414733685138e-07,13.3285652217082,"ADGRV1","Down","ADGRV1"
0.889505574346886,5.32570258290345,7.56955146596643,2.80057686610722e-10,7.35478161320857e-07,13.1558696812982,"GGH","NS",""
1.14667380386357,4.53696732962448,7.24191000996686,1.01110332974953e-09,2.08195910484844e-06,11.9509719671807,"TPX2","Up","TPX2"
0.459952936513321,6.30063612179324,7.20446742840387,1.17080721213293e-09,2.08195910484844e-06,11.8132501147044,"RPA3","NS",""
-1.02691123797114,4.70209562864162,-7.16554903710106,1.36355845999668e-09,2.08195910484844e-06,11.6701093082767,"SLC37A2","Down","SLC37A2"
-0.740935493322476,3.83772716444884,-7.14536249429963,1.47570512884911e-09,2.08195910484844e-06,11.595869038355,"TMEM200C","NS",""
0.956647831318488,4.50069835037834,7.14023306642313,1.50564018477565e-09,2.08195910484844e-06,11.5770051732263,"GINS1","NS",""
0.766907851939471,4.89915810758582,7.11910051723051,1.63549880688428e-09,2.08195910484844e-06,11.4992918879367,"RNASEH2A","NS",""
0.92026470270766,4.75859163329969,7.10657591775547,1.71767902284887e-09,2.08195910484844e-06,11.453236378838,"RMI2","NS",""
0.894846285882929,3.28312025524633,7.07367247513381,1.95375141214264e-09,2.19894721436654e-06,11.332254701794,"BUB1","NS",""
0.575374150736947,6.70409043709517,6.99260188732661,2.68293085184066e-09,2.81382513043731e-06,11.0342528463366,"H2AZ1","NS",""
0.606168565357152,4.79929742983071,6.97650718263142,2.85721914622053e-09,2.81382513043731e-06,10.975108506732,"HMGB2","NS",""
1.29286458268523,4.69157410313423,6.88478273148001,4.08922448300297e-09,3.79023001051046e-06,10.6381769909276,"PRC1","Up","PRC1"
1.265066067277,5.24375369568608,6.83050285752637,5.05482355709111e-09,4.22126284254651e-06,10.4389174095159,"PTTG1","Up","PTTG1"
-0.676757395353163,5.01335880519438,-6.82872382089917,5.0900548333048e-09,4.22126284254651e-06,10.43238843924,"ADAP2","NS",""
1.22809760998954,4.09059034325808,6.79940015567036,5.70732853020105e-09,4.37557950162154e-06,10.3247898904751,"CDK1","Up","CDK1"
1.04888340666466,5.21483411628313,6.7908074114125,5.90195739458912e-09,4.37557950162154e-06,10.2932667123906,"GPX8","Up","GPX8"
-1.02527203358262,4.8698539258865,-6.78196263158252,6.10920537130633e-09,4.37557950162154e-06,10.2608221257115,"KCNQ1","Down","KCNQ1"
-1.08865983646302,5.41228081523941,-6.73381511594944,7.37132842180643e-09,5.05000095401756e-06,10.0842662808826,"ABLIM1","Down","ABLIM1"
0.39725771309133,4.9790720219605,6.72078575889902,7.75546454089879e-09,5.09178561545593e-06,10.0365061498807,"TARBP2","NS",""
0.368957848885339,6.00490208528831,6.64021775070051,1.06153465697444e-08,6.69064063597847e-06,9.74136693750514,"CFAP20","NS",""
1.07052422729253,4.50584045034943,6.60243045104496,1.22973661456705e-08,7.45267685989733e-06,9.6030648498736,"CDKN3","Up","CDKN3"
0.661162500830751,4.84480791290259,6.58021029530377,1.34077253099095e-08,7.82464917437942e-06,9.52177798934071,"JAG1","NS",""
0.799575083708245,4.32075708100004,6.48547873639877,1.93749821408228e-08,1.0903271199748e-05,9.1755805991522,"MAD2L1","NS",""
0.809191049134731,4.55641040551477,6.46242452869468,2.11888424016615e-08,1.15128479214821e-05,9.09142193179334,"P4HA2","NS",""
-0.867137019266849,5.42863136986078,-6.44445390122334,2.27190533696623e-08,1.16645454177249e-05,9.02584769659276,"EPHX2","NS",""
0.783836337494835,4.96286913124211,6.44186261068944,2.29485884336786e-08,1.16645454177249e-05,9.01639415133175,"ORC6","NS",""
