"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
-1.09526366681475,4.34701460940025,-7.61654527305983,2.32959109237602e-10,7.3414733685138e-07,13.3285652217082,"ADGRV1","Down","ADGRV1"
-1.02691123797114,4.70209562864162,-7.16554903710106,1.36355845999668e-09,2.08195910484844e-06,11.6701093082767,"SLC37A2","Down","SLC37A2"
-1.02527203358262,4.8698539258865,-6.78196263158252,6.10920537130633e-09,4.37557950162154e-06,10.2608221257115,"KCNQ1","Down","KCNQ1"
-1.08865983646302,5.41228081523941,-6.73381511594944,7.37132842180643e-09,5.05000095401756e-06,10.0842662808826,"ABLIM1","Down","ABLIM1"
-1.05192172993143,5.34591484336349,-6.00737010371575,1.22694091907971e-07,4.83322701548476e-05,7.43990342484259,"SEMA6A","Down","SEMA6A"
-1.0290648492539,4.90053445903018,-5.09326119460006,3.81840362448839e-06,0.000455807469023209,4.21203125033076,"FMO2","Down","FMO2"
-1.03186307759382,5.66967693868725,-5.04490269243981,4.55878041112688e-06,0.000513090735272331,4.04603917158017,"RAPGEF4","Down","RAPGEF4"
-1.06266185189678,6.67659965537347,-4.98887585424704,5.59384821626692e-06,0.00057988333120867,3.85446712168509,"HOXA5","Down","HOXA5"
-1.20396047967774,5.32351021529434,-4.44726628434636,3.86782930525578e-05,0.00216118391357856,2.04907293913582,"AMDHD1","Down","AMDHD1"
-1.11928653151012,4.88621926959759,-4.37923456674756,4.89993080472935e-05,0.00253141671115149,1.82900720853458,"SUGCT","Down","SUGCT"
-1.2467077579299,7.49206207540047,-4.26400152678606,7.28805940244111e-05,0.00332863628997868,1.46010414957889,"HSD3B2","Down","HSD3B2"
-1.51113120248072,4.86343635032298,-4.25543864164834,7.50487277387849e-05,0.00338837479363907,1.43289024185118,"RALYL","Down","RALYL"
-1.0252729445021,5.41340346829596,-4.15996352267036,0.000103875385935991,0.00420762071000875,1.13138724108972,"F13A1","Down","F13A1"
-1.22201394567031,5.85360697647465,-4.15210636132703,0.000106675596302191,0.00430996761777851,1.10673527261488,"NR4A2","Down","NR4A2"
-1.16734672438746,6.49057144241334,-3.98603179339562,0.000186139700906695,0.00631339013637641,0.591610472717358,"SLC16A9","Down","SLC16A9"
-1.15559739908696,4.99093967532851,-3.92525465868218,0.000227579775284063,0.0071863216816653,0.406025253487615,"GIPC2","Down","GIPC2"
-1.08096121846105,4.11854582690351,-3.92310282233656,0.00022919881172838,0.00722297135280817,0.399484274995075,"CHAD","Down","CHAD"
-1.53261560655983,4.5691890425056,-3.91794386046942,0.000233125656688526,0.00729761192908196,0.383810839036677,"DAPL1","Down","DAPL1"
-1.21291536220253,5.56742802382579,-3.80649174173426,0.000335579362169262,0.00933851694609996,0.0481365361977906,"ALDH1A1","Down","ALDH1A1"
-1.10634950593727,5.66685770583094,-3.8020833032502,0.000340412808614976,0.00941032390411611,0.0349760769615726,"CDH2","Down","CDH2"
-1.15727391594684,7.04862604213225,-3.16618664795599,0.00243651250119588,0.0354170917724571,-1.76050923267399,"CCN3","Down","CCN3"
