"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
1.16495368609704,4.86946870093957,7.78793850520468,1.19048401254679e-10,4.68961414642494e-07,13.9579118656966,"UBE2C","Up","UBE2C"
1.14667380386357,4.53696732962448,7.24191000996686,1.01110332974953e-09,2.08195910484844e-06,11.9509719671807,"TPX2","Up","TPX2"
1.29286458268523,4.69157410313423,6.88478273148001,4.08922448300297e-09,3.79023001051046e-06,10.6381769909276,"PRC1","Up","PRC1"
1.265066067277,5.24375369568608,6.83050285752637,5.05482355709111e-09,4.22126284254651e-06,10.4389174095159,"PTTG1","Up","PTTG1"
1.22809760998954,4.09059034325808,6.79940015567036,5.70732853020105e-09,4.37557950162154e-06,10.3247898904751,"CDK1","Up","CDK1"
1.04888340666466,5.21483411628313,6.7908074114125,5.90195739458912e-09,4.37557950162154e-06,10.2932667123906,"GPX8","Up","GPX8"
1.07052422729253,4.50584045034943,6.60243045104496,1.22973661456705e-08,7.45267685989733e-06,9.6030648498736,"CDKN3","Up","CDKN3"
1.2408846152509,4.46479833006951,5.85781604332414,2.17385107316746e-07,7.44638507823907e-05,6.90218912232174,"PBK","Up","PBK"
1.15903700539999,3.74087794381122,5.83438420038971,2.37699666966507e-07,7.96900777104523e-05,6.81821738189679,"TOP2A","Up","TOP2A"
1.83006107623362,5.64763459928095,5.29964158131464,1.78149652823339e-06,0.000272534376654112,4.92669931038399,"IGF2","Up","IGF2"
1.01066707038183,4.49202837991221,5.22674157585261,2.33457262235296e-06,0.000339900059514219,4.67314092815273,"APOBEC3B","Up","APOBEC3B"
1.22501892740274,3.29525148319163,5.01428459949813,5.09862006440963e-06,0.000550266824348647,3.94124677037041,"APLP1","Up","APLP1"
1.1591514666292,4.10051176080958,4.80732053765853,1.07959549646354e-05,0.000890638022920213,3.23946448920454,"ANLN","Up","ANLN"
1.09308019368699,4.74453992256757,4.78249792817798,1.18032741816415e-05,0.000944082189239214,3.15610254742591,"SPP1","Up","SPP1"
1.16726719941969,4.08761757504153,4.679695441611,1.70467008171086e-05,0.00125516291951018,2.81281843041693,"MELK","Up","MELK"
1.04887715349257,4.46552579320397,4.31987586655331,6.01532581909275e-05,0.00295816465824085,1.63836188447028,"RRM2","Up","RRM2"
1.26563847764551,3.74013923851371,4.250605075259,7.63000648897778e-05,0.00340033197297902,1.41754097048119,"SCG5","Up","SCG5"
1.07859805105547,3.50199605398649,4.20391749892844,8.94752237160288e-05,0.00383114429373224,1.26974674589633,"FOXM1","Up","FOXM1"
1.12398358502031,3.41637078540286,3.70358670760678,0.000467529679312853,0.0114570220170025,-0.256675725866688,"ZG16B","Up","ZG16B"
